school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3,Walc_bin
GP,F,16,Urban,GT3,alone,secondary education,secondary education,other,other,course,other,15-30 min,<2 hrs,2,no,yes,no,yes,no,yes,yes,yes,good,moderate,low,very low,very good,0,4,0,0,no
GP,M,16,Urban,LE3,together,4th grade,4th grade,services,other,course,mother,<15 min,2-5 hrs,1,no,no,no,no,yes,yes,no,yes,good,high,high,very low,very good,0,14,12,12,yes
GP,F,15,Urban,GT3,together,higher education,higher education,teacher,teacher,course,mother,15-30 min,<2 hrs,0,no,no,no,yes,yes,yes,yes,no,good,moderate,low,very low,very good,0,16,16,15,no
GP,M,15,Urban,GT3,together,higher education,secondary education,teacher,services,course,father,15-30 min,>10 hrs,0,yes,yes,no,no,yes,yes,yes,no,bad,low,low,very low,moderate,0,7,9,0,no
GP,M,16,Urban,LE3,together,5th - 9th grade,5th - 9th grade,services,services,reputation,father,15-30 min,<2 hrs,2,no,yes,no,yes,yes,yes,yes,no,bad,moderate,moderate,low,bad,8,9,9,9,yes
GP,F,15,Urban,GT3,together,higher education,higher education,teacher,services,course,mother,<15 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,low,low,very low,very good,2,9,11,11,no
GP,F,16,Urban,LE3,together,4th grade,4th grade,at_home,at_home,course,mother,<15 min,<2 hrs,0,no,no,no,no,yes,yes,yes,no,moderate,high,high,moderate,very bad,2,14,14,13,yes
GP,M,17,Urban,GT3,together,5th - 9th grade,4th grade,other,other,home,mother,<15 min,<2 hrs,3,no,yes,no,no,yes,yes,yes,no,excellent,high,very high,very low,very good,0,5,0,0,yes
GP,F,15,Urban,GT3,together,4th grade,4th grade,other,services,course,father,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,high,low,very low,very good,0,8,11,11,yes
GP,F,15,Urban,GT3,together,secondary education,5th - 9th grade,health,services,home,father,<15 min,2-5 hrs,3,no,yes,no,no,yes,yes,yes,no,moderate,moderate,low,very low,moderate,0,6,7,0,no
GP,F,15,Urban,GT3,together,4th grade,5th - 9th grade,at_home,other,course,mother,<15 min,2-5 hrs,0,no,yes,yes,no,no,yes,yes,no,good,moderate,low,very low,very good,2,10,11,11,no
GP,M,16,Urban,GT3,together,higher education,higher education,teacher,teacher,course,mother,<15 min,<2 hrs,0,no,yes,no,no,yes,no,yes,yes,moderate,moderate,low,low,very good,0,7,6,0,no
GP,M,15,Urban,LE3,alone,5th - 9th grade,4th grade,services,other,course,mother,>1 hr,<2 hrs,3,no,no,no,no,yes,yes,yes,no,good,very high,very high,low,very good,0,8,9,10,yes
GP,M,18,Urban,LE3,together,4th grade,4th grade,other,other,course,mother,<15 min,<2 hrs,3,no,no,no,no,yes,no,yes,yes,bad,moderate,very high,low,good,0,6,5,0,yes
GP,M,16,Urban,LE3,together,5th - 9th grade,4th grade,at_home,other,course,mother,<15 min,<2 hrs,1,no,no,no,yes,yes,yes,no,yes,good,high,high,moderate,very good,6,12,13,14,yes
GP,F,15,Rural,GT3,together,secondary education,secondary education,services,services,reputation,other,15-30 min,5-10 hrs,2,no,yes,yes,yes,yes,yes,yes,yes,good,low,very low,low,moderate,8,10,10,10,yes
GP,M,19,Urban,GT3,together,secondary education,5th - 9th grade,services,at_home,home,mother,<15 min,<2 hrs,3,no,yes,no,no,yes,no,yes,yes,good,very high,high,very low,good,0,5,0,0,no
GP,F,17,Urban,GT3,together,higher education,higher education,other,teacher,course,mother,<15 min,<2 hrs,0,yes,yes,no,no,yes,yes,no,yes,good,low,very low,very low,good,0,11,11,12,no
GP,M,15,Rural,GT3,together,5th - 9th grade,secondary education,at_home,services,course,mother,<15 min,2-5 hrs,0,yes,no,yes,yes,yes,yes,no,no,good,high,high,very low,very bad,2,11,8,8,no
GP,M,17,Rural,LE3,together,4th grade,5th - 9th grade,other,other,reputation,mother,<15 min,<2 hrs,0,no,no,no,no,yes,yes,no,no,bad,low,low,moderate,very good,8,16,12,13,yes
GP,F,18,Rural,GT3,together,4th grade,4th grade,at_home,other,course,mother,30 min - 1 hr,<2 hrs,3,no,yes,no,yes,no,yes,no,no,excellent,low,very high,very low,good,6,9,8,10,yes
GP,M,16,Rural,GT3,together,5th - 9th grade,5th - 9th grade,at_home,other,course,mother,30 min - 1 hr,<2 hrs,0,no,no,no,no,no,yes,no,no,good,low,low,very low,moderate,2,17,15,15,yes
GP,M,16,Urban,GT3,together,secondary education,secondary education,other,services,course,father,<15 min,2-5 hrs,1,no,yes,yes,no,yes,yes,yes,yes,good,very high,very high,high,very good,4,10,12,12,yes
GP,M,17,Rural,LE3,together,5th - 9th grade,4th grade,at_home,other,course,mother,15-30 min,<2 hrs,2,no,no,no,yes,yes,no,yes,yes,moderate,moderate,low,low,very good,0,7,6,0,yes
GP,M,15,Rural,GT3,together,secondary education,5th - 9th grade,other,other,course,mother,15-30 min,2-5 hrs,2,yes,yes,no,no,yes,yes,yes,yes,good,high,high,very low,moderate,6,5,9,7,yes
GP,M,16,Urban,LE3,together,4th grade,5th - 9th grade,other,other,course,mother,15-30 min,<2 hrs,1,no,no,no,yes,yes,yes,no,no,good,high,high,low,very good,0,7,0,0,yes
GP,M,17,Urban,GT3,together,4th grade,secondary education,at_home,services,course,father,<15 min,<2 hrs,0,no,no,no,no,yes,no,yes,no,excellent,moderate,moderate,very low,bad,2,10,10,10,yes
GP,M,17,Rural,LE3,together,4th grade,4th grade,other,services,course,mother,>1 hr,2-5 hrs,3,no,no,no,yes,yes,no,no,yes,excellent,moderate,very high,very low,very good,0,5,8,7,yes
GP,M,16,Urban,GT3,together,secondary education,5th - 9th grade,services,services,course,mother,15-30 min,<2 hrs,1,no,yes,no,yes,no,no,no,no,good,very high,low,very low,bad,16,12,11,12,no
GP,M,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,other,course,father,<15 min,2-5 hrs,0,no,no,no,no,yes,no,yes,no,good,moderate,very high,low,good,4,10,10,10,yes
GP,F,16,Urban,GT3,together,higher education,5th - 9th grade,health,services,home,father,<15 min,2-5 hrs,0,no,no,yes,no,yes,yes,yes,yes,good,low,moderate,very low,moderate,0,14,15,16,no
GP,F,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,no,no,yes,yes,no,excellent,very low,very high,very low,good,0,6,7,0,no
GP,F,16,Urban,GT3,together,higher education,higher education,health,health,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,yes,good,high,low,very low,moderate,0,14,14,14,no
GP,M,16,Urban,GT3,together,secondary education,higher education,other,other,course,father,30 min - 1 hr,<2 hrs,2,no,yes,no,yes,no,yes,yes,no,moderate,high,very high,low,bad,0,6,5,0,yes
GP,M,16,Urban,GT3,together,4th grade,none,other,other,reputation,mother,15-30 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,good,moderate,low,very low,moderate,2,13,15,16,no
GP,M,17,Urban,LE3,together,higher education,higher education,teacher,other,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,high,high,very low,very good,0,13,11,10,yes
GP,F,16,Urban,GT3,together,4th grade,secondary education,at_home,services,home,mother,<15 min,2-5 hrs,3,no,no,no,yes,no,yes,yes,yes,good,moderate,very high,very low,moderate,0,8,7,0,no
GP,F,16,Urban,LE3,together,secondary education,secondary education,other,other,reputation,mother,15-30 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,high,very high,very low,good,4,10,11,9,no
GP,M,17,Urban,LE3,together,higher education,secondary education,teacher,other,course,mother,15-30 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,no,good,high,high,high,good,4,10,9,9,yes
GP,F,16,Urban,GT3,together,5th - 9th grade,5th - 9th grade,services,other,reputation,mother,15-30 min,2-5 hrs,0,no,no,yes,yes,no,yes,yes,no,moderate,high,high,very low,very good,2,13,13,11,yes
GP,M,17,Urban,GT3,together,secondary education,secondary education,other,other,reputation,father,<15 min,2-5 hrs,0,no,no,no,yes,no,yes,yes,no,good,moderate,high,very low,good,4,6,5,6,yes
GP,M,16,Rural,GT3,together,higher education,5th - 9th grade,teacher,services,other,mother,<15 min,<2 hrs,0,no,yes,no,yes,yes,yes,yes,yes,good,moderate,moderate,moderate,moderate,10,10,8,9,yes
GP,M,17,Urban,GT3,together,higher education,secondary education,other,other,course,mother,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,yes,excellent,low,moderate,very low,bad,4,10,10,11,no
GP,M,16,Urban,GT3,together,higher education,secondary education,teacher,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,moderate,high,moderate,low,moderate,10,9,8,8,yes
GP,M,16,Urban,GT3,together,secondary education,secondary education,services,other,home,mother,<15 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,yes,good,low,moderate,very low,moderate,2,12,13,12,yes
GP,F,17,Urban,GT3,together,5th - 9th grade,higher education,services,services,reputation,father,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,no,no,excellent,high,low,low,very good,0,16,17,17,yes
GP,F,17,Urban,LE3,together,secondary education,secondary education,other,other,reputation,mother,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,yes,excellent,moderate,moderate,low,very bad,56,9,9,8,yes
GP,F,16,Urban,GT3,together,secondary education,5th - 9th grade,other,other,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,very bad,low,low,very low,very bad,14,12,13,12,yes
GP,M,17,Urban,GT3,together,secondary education,secondary education,services,services,other,mother,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,yes,good,moderate,high,low,good,12,12,12,11,yes
GP,M,16,Urban,GT3,together,4th grade,5th - 9th grade,services,services,other,mother,<15 min,<2 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,moderate,moderate,moderate,very low,moderate,2,11,12,11,yes
GP,M,16,Urban,LE3,together,5th - 9th grade,4th grade,other,other,course,mother,<15 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,yes,good,low,moderate,very low,very good,0,15,15,15,yes
GP,F,17,Urban,GT3,alone,secondary education,secondary education,health,other,reputation,mother,<15 min,2-5 hrs,0,no,yes,no,no,no,yes,yes,yes,moderate,moderate,moderate,very low,moderate,6,8,7,9,yes
GP,M,17,Rural,GT3,together,4th grade,5th - 9th grade,at_home,other,home,mother,<15 min,2-5 hrs,0,no,no,no,no,yes,yes,no,no,moderate,very low,moderate,very low,moderate,4,8,9,10,yes
GP,F,16,Urban,GT3,together,5th - 9th grade,secondary education,services,services,course,mother,<15 min,2-5 hrs,0,no,no,no,no,yes,yes,yes,no,good,moderate,moderate,very low,bad,10,11,12,13,no
GP,F,17,Urban,GT3,together,4th grade,4th grade,at_home,services,course,mother,<15 min,2-5 hrs,0,no,no,no,yes,yes,yes,yes,no,excellent,moderate,moderate,very low,moderate,0,8,8,9,no
GP,M,17,Urban,GT3,together,4th grade,5th - 9th grade,at_home,services,other,other,15-30 min,2-5 hrs,0,no,no,yes,yes,no,yes,yes,no,good,high,high,high,very good,12,7,8,8,yes
GP,M,16,Rural,GT3,together,secondary education,secondary education,services,services,reputation,mother,<15 min,<2 hrs,0,no,yes,no,yes,yes,yes,yes,no,good,moderate,low,moderate,very good,8,8,9,10,yes
GP,M,16,Urban,GT3,together,5th - 9th grade,secondary education,other,other,home,father,15-30 min,<2 hrs,0,no,no,no,no,yes,yes,yes,no,excellent,moderate,moderate,very low,moderate,0,13,14,14,no
GP,F,17,Urban,LE3,together,5th - 9th grade,higher education,services,services,course,father,<15 min,2-5 hrs,0,no,no,no,yes,yes,yes,yes,yes,good,moderate,low,very low,very good,0,14,15,15,no
GP,M,17,Urban,GT3,together,higher education,higher education,services,teacher,home,mother,<15 min,<2 hrs,0,no,no,no,no,yes,yes,yes,no,excellent,low,moderate,very low,very good,4,17,15,16,yes
GP,M,16,Rural,LE3,together,secondary education,secondary education,teacher,other,home,father,30 min - 1 hr,<2 hrs,0,no,yes,yes,yes,yes,yes,yes,no,moderate,moderate,high,moderate,moderate,8,9,9,10,yes
GP,F,17,Urban,GT3,together,higher education,higher education,services,teacher,home,mother,15-30 min,<2 hrs,1,no,yes,no,no,yes,yes,yes,no,good,low,high,low,bad,24,18,18,18,yes
GP,F,16,Urban,LE3,together,higher education,higher education,teacher,teacher,reputation,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,good,very high,low,very low,moderate,0,9,9,10,yes
GP,F,16,Urban,GT3,together,higher education,secondary education,health,other,home,mother,<15 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,no,good,moderate,very high,very low,bad,2,16,16,16,yes
GP,F,16,Urban,GT3,together,5th - 9th grade,secondary education,other,other,reputation,mother,<15 min,2-5 hrs,0,yes,yes,yes,yes,yes,yes,no,no,good,high,moderate,very low,good,6,8,10,10,yes
GP,F,17,Urban,GT3,together,4th grade,4th grade,other,other,course,mother,<15 min,2-5 hrs,0,no,yes,yes,no,no,yes,no,no,good,high,high,very low,very bad,4,9,9,10,yes
GP,F,17,Rural,GT3,together,5th - 9th grade,5th - 9th grade,other,other,reputation,mother,<15 min,<2 hrs,0,no,yes,no,no,yes,yes,yes,no,excellent,moderate,low,very low,moderate,18,7,6,6,yes
GP,F,16,Rural,GT3,together,5th - 9th grade,5th - 9th grade,services,services,reputation,mother,15-30 min,>10 hrs,0,no,yes,yes,yes,no,yes,yes,no,excellent,moderate,very high,very low,very good,6,10,10,11,no
GP,F,17,Urban,GT3,together,secondary education,higher education,at_home,services,home,mother,<15 min,5-10 hrs,1,no,yes,yes,no,yes,yes,yes,yes,good,high,moderate,moderate,very good,28,10,9,9,yes
GP,F,16,Urban,GT3,alone,secondary education,4th grade,services,other,course,mother,<15 min,2-5 hrs,3,no,yes,yes,no,yes,yes,yes,no,bad,moderate,moderate,low,good,5,7,7,7,yes
GP,F,16,Urban,GT3,together,higher education,secondary education,teacher,other,other,mother,<15 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,yes,very bad,moderate,low,very low,very bad,10,11,12,13,no
GP,F,16,Urban,GT3,together,4th grade,4th grade,at_home,other,home,mother,15-30 min,<2 hrs,0,no,yes,yes,no,yes,yes,no,no,good,moderate,low,very low,very good,6,9,9,10,yes
GP,F,17,Rural,GT3,together,higher education,secondary education,teacher,other,reputation,mother,15-30 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,good,high,low,very low,good,6,7,7,7,no
GP,F,19,Urban,GT3,together,secondary education,secondary education,other,other,reputation,other,<15 min,>10 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,moderate,moderate,very low,moderate,10,8,8,8,yes
GP,M,17,Urban,LE3,together,higher education,higher education,services,other,home,mother,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,yes,excellent,moderate,very high,high,moderate,13,12,12,13,yes
GP,F,16,Urban,GT3,alone,5th - 9th grade,5th - 9th grade,other,other,reputation,mother,<15 min,2-5 hrs,0,yes,yes,yes,no,yes,yes,yes,no,moderate,moderate,high,very low,good,0,12,13,14,no
GP,M,18,Urban,GT3,together,5th - 9th grade,5th - 9th grade,services,other,home,mother,<15 min,2-5 hrs,1,no,yes,yes,yes,yes,yes,yes,no,good,high,high,low,very good,15,6,7,8,yes
GP,F,17,Rural,LE3,together,higher education,higher education,services,other,other,mother,<15 min,<2 hrs,0,no,yes,yes,no,yes,yes,no,no,excellent,low,very low,very low,moderate,12,8,10,10,yes
GP,F,17,Urban,LE3,together,secondary education,5th - 9th grade,other,other,reputation,mother,15-30 min,2-5 hrs,0,no,no,yes,no,yes,yes,yes,no,good,high,high,very low,very bad,2,14,15,15,yes
GP,F,17,Urban,GT3,together,higher education,secondary education,other,other,reputation,mother,<15 min,2-5 hrs,2,no,no,yes,no,yes,yes,yes,yes,moderate,high,very high,low,very bad,22,6,6,4,yes
GP,M,18,Urban,LE3,together,secondary education,secondary education,services,health,home,father,<15 min,2-5 hrs,1,no,yes,yes,no,yes,yes,yes,no,moderate,low,high,low,good,13,6,6,8,yes
GP,F,17,Urban,GT3,together,5th - 9th grade,secondary education,at_home,other,home,father,15-30 min,<2 hrs,0,no,yes,yes,no,yes,yes,no,no,moderate,moderate,moderate,very low,moderate,3,7,7,8,yes
GP,F,17,Urban,GT3,together,5th - 9th grade,5th - 9th grade,at_home,at_home,course,mother,<15 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,moderate,moderate,very low,good,4,9,10,10,no
GP,F,17,Rural,GT3,together,5th - 9th grade,4th grade,at_home,services,reputation,mother,15-30 min,2-5 hrs,0,no,yes,no,yes,yes,yes,yes,no,good,low,very high,very low,very good,2,6,6,6,yes
GP,F,17,Urban,GT3,together,4th grade,4th grade,at_home,other,reputation,mother,<15 min,5-10 hrs,1,no,yes,no,yes,yes,yes,no,yes,good,moderate,high,very low,very good,0,6,5,0,no
GP,F,16,Urban,GT3,together,5th - 9th grade,secondary education,services,teacher,other,mother,<15 min,2-5 hrs,0,yes,no,no,no,yes,yes,yes,no,bad,moderate,very low,very low,moderate,2,16,16,17,no
GP,M,18,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,other,home,mother,15-30 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,moderate,moderate,moderate,very high,good,0,12,13,13,yes
GP,F,16,Urban,GT3,together,higher education,higher education,teacher,services,home,mother,<15 min,5-10 hrs,0,no,yes,no,yes,no,yes,yes,no,excellent,moderate,low,very low,very good,0,13,13,14,no
GP,F,18,Rural,GT3,together,secondary education,4th grade,other,other,reputation,mother,<15 min,2-5 hrs,1,no,no,no,yes,yes,yes,yes,yes,excellent,moderate,moderate,very low,good,16,9,8,7,no
GP,F,17,Urban,GT3,together,secondary education,5th - 9th grade,other,other,course,mother,<15 min,2-5 hrs,0,no,no,no,yes,no,yes,yes,no,excellent,moderate,high,very low,moderate,10,16,15,15,yes
GP,M,17,Urban,LE3,together,5th - 9th grade,secondary education,services,services,reputation,father,<15 min,2-5 hrs,0,no,yes,yes,no,no,yes,yes,no,excellent,moderate,moderate,very low,moderate,2,12,11,12,yes
GP,M,18,Urban,LE3,together,5th - 9th grade,4th grade,at_home,other,course,mother,>1 hr,2-5 hrs,0,yes,yes,yes,yes,yes,yes,yes,yes,good,moderate,low,high,moderate,14,10,8,9,yes
GP,F,17,Urban,GT3,alone,5th - 9th grade,4th grade,other,other,course,mother,15-30 min,5-10 hrs,0,no,no,no,yes,yes,yes,yes,yes,moderate,low,moderate,very low,moderate,10,12,10,12,yes
GP,F,17,Urban,LE3,together,higher education,secondary education,health,other,reputation,father,<15 min,2-5 hrs,0,no,no,no,yes,yes,yes,yes,yes,moderate,low,moderate,very low,moderate,14,13,13,14,yes
GP,M,17,Rural,GT3,together,5th - 9th grade,5th - 9th grade,other,other,course,father,15-30 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,very high,low,very low,very bad,4,11,11,11,no
GP,M,17,Urban,GT3,together,higher education,higher education,teacher,teacher,reputation,mother,<15 min,2-5 hrs,0,yes,yes,no,yes,yes,yes,yes,yes,good,very high,very high,very low,bad,14,11,9,9,yes
GP,M,16,Urban,GT3,together,higher education,higher education,health,other,reputation,father,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,low,high,low,very bad,2,14,13,13,yes
GP,M,16,Urban,LE3,together,4th grade,4th grade,other,other,home,mother,15-30 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,moderate,high,low,very low,very good,18,9,7,6,no
GP,M,16,Urban,GT3,together,secondary education,5th - 9th grade,at_home,other,reputation,mother,15-30 min,5-10 hrs,0,no,no,no,yes,yes,yes,yes,yes,excellent,moderate,moderate,very low,bad,10,11,9,10,yes
GP,M,17,Urban,LE3,together,5th - 9th grade,5th - 9th grade,other,other,home,father,<15 min,2-5 hrs,0,no,no,yes,yes,no,yes,yes,yes,good,high,low,very high,good,4,14,13,13,yes
GP,F,16,Urban,GT3,together,5th - 9th grade,4th grade,other,other,home,mother,<15 min,<2 hrs,0,no,no,no,no,yes,yes,yes,yes,good,very high,low,very low,very good,20,13,12,12,no
GP,F,17,Rural,GT3,together,5th - 9th grade,4th grade,at_home,services,course,mother,30 min - 1 hr,2-5 hrs,0,no,no,no,yes,yes,yes,no,no,bad,very low,very low,very low,moderate,2,13,11,11,no
GP,M,18,Urban,GT3,together,5th - 9th grade,5th - 9th grade,other,services,reputation,father,<15 min,2-5 hrs,1,no,no,no,no,yes,no,yes,no,excellent,very high,high,moderate,bad,0,7,7,0,yes
GP,M,17,Urban,LE3,together,higher education,secondary education,health,other,course,mother,15-30 min,2-5 hrs,0,no,no,no,yes,yes,yes,yes,yes,bad,very high,very high,very low,very good,14,12,12,12,yes
GP,M,17,Rural,LE3,alone,higher education,higher education,teacher,other,course,mother,15-30 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,no,moderate,moderate,moderate,low,good,2,10,11,12,yes
GP,M,16,Urban,LE3,together,higher education,secondary education,teacher,other,course,mother,<15 min,<2 hrs,0,no,no,no,yes,no,yes,yes,no,excellent,high,very high,very low,moderate,0,6,0,0,no
GP,M,16,Urban,GT3,together,higher education,higher education,services,services,course,mother,<15 min,<2 hrs,0,no,no,no,yes,yes,yes,yes,no,excellent,moderate,low,very low,very good,0,13,12,12,yes
GP,F,18,Urban,GT3,together,5th - 9th grade,4th grade,other,other,course,other,15-30 min,5-10 hrs,0,no,yes,yes,no,no,yes,yes,yes,good,high,high,very low,moderate,0,7,0,0,no
GP,M,16,Urban,GT3,together,5th - 9th grade,4th grade,other,other,course,mother,30 min - 1 hr,<2 hrs,0,no,no,no,no,yes,yes,yes,no,good,moderate,moderate,very low,good,6,18,18,18,no
GP,M,17,Urban,GT3,together,5th - 9th grade,secondary education,other,other,course,father,15-30 min,<2 hrs,0,no,no,no,no,yes,yes,yes,no,excellent,low,low,very low,bad,4,12,12,13,no
GP,M,22,Urban,GT3,together,secondary education,4th grade,services,services,other,mother,<15 min,<2 hrs,3,no,no,no,no,no,no,yes,yes,excellent,high,very high,very high,very bad,16,6,8,8,yes
GP,M,18,Rural,LE3,together,secondary education,secondary education,other,services,course,mother,<15 min,2-5 hrs,1,no,yes,no,no,yes,yes,yes,yes,good,moderate,moderate,very low,very good,8,3,5,5,yes
GP,M,16,Urban,GT3,together,none,5th - 9th grade,other,other,other,mother,<15 min,<2 hrs,0,no,no,yes,no,no,yes,yes,no,good,moderate,low,low,very good,0,13,15,15,yes
GP,M,18,Urban,GT3,together,secondary education,5th - 9th grade,services,other,course,mother,15-30 min,<2 hrs,1,no,no,no,no,yes,no,yes,no,good,high,very high,low,very good,0,6,8,8,yes
GP,M,16,Urban,GT3,together,secondary education,secondary education,at_home,other,reputation,other,30 min - 1 hr,2-5 hrs,0,yes,yes,no,no,no,yes,yes,no,excellent,moderate,moderate,very low,bad,6,7,10,10,yes
GP,M,18,Urban,GT3,together,5th - 9th grade,4th grade,services,services,other,mother,<15 min,<2 hrs,1,no,no,no,no,no,no,yes,no,moderate,low,very high,low,very good,4,6,9,8,yes
GP,M,16,Rural,GT3,together,5th - 9th grade,4th grade,other,other,course,mother,15-30 min,<2 hrs,0,no,no,no,yes,no,yes,no,no,moderate,moderate,low,very low,moderate,0,8,9,8,yes
GP,M,17,Rural,GT3,together,5th - 9th grade,4th grade,other,other,course,mother,<15 min,<2 hrs,0,no,no,no,no,no,yes,yes,no,good,high,low,low,very good,0,8,12,12,yes
GP,M,17,Urban,LE3,together,4th grade,4th grade,health,other,course,mother,15-30 min,<2 hrs,1,no,yes,no,yes,yes,yes,yes,no,good,high,high,very low,very good,2,7,9,8,yes
GP,F,17,Urban,LE3,together,higher education,5th - 9th grade,teacher,services,reputation,mother,<15 min,>10 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,low,moderate,very low,good,6,14,12,13,no
GP,M,19,Urban,LE3,alone,higher education,secondary education,services,at_home,reputation,mother,<15 min,2-5 hrs,0,no,yes,no,no,yes,yes,yes,no,good,moderate,very low,very low,very bad,12,11,11,11,no
GP,M,18,Urban,GT3,together,5th - 9th grade,4th grade,other,other,home,mother,<15 min,2-5 hrs,0,no,no,no,yes,yes,yes,yes,no,excellent,low,high,very low,good,8,15,14,14,yes
GP,F,17,Urban,LE3,together,5th - 9th grade,5th - 9th grade,services,services,course,father,<15 min,>10 hrs,0,no,no,yes,yes,yes,yes,yes,yes,moderate,high,very low,very low,bad,0,10,9,0,no
GP,F,18,Urban,GT3,together,higher education,secondary education,services,other,home,father,<15 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,yes,moderate,very low,low,very low,bad,21,17,18,18,yes
GP,M,18,Urban,GT3,together,higher education,secondary education,teacher,other,course,mother,<15 min,2-5 hrs,0,no,yes,yes,no,no,yes,yes,no,good,moderate,low,very low,moderate,2,8,8,8,no
GP,M,18,Rural,GT3,together,secondary education,5th - 9th grade,other,other,course,mother,<15 min,5-10 hrs,0,no,no,no,yes,no,yes,no,no,excellent,moderate,low,very low,moderate,1,13,12,12,no
GP,F,17,Urban,GT3,together,secondary education,secondary education,other,other,home,mother,<15 min,5-10 hrs,0,no,no,no,yes,no,yes,no,no,moderate,low,moderate,very low,good,4,10,9,9,no
GP,F,18,Urban,GT3,together,5th - 9th grade,5th - 9th grade,at_home,services,home,mother,<15 min,5-10 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,good,moderate,moderate,very low,moderate,0,9,10,0,no
GP,M,18,Rural,LE3,alone,secondary education,higher education,other,other,reputation,mother,15-30 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,no,good,low,very high,moderate,very bad,13,17,17,17,yes
GP,M,17,Urban,GT3,together,secondary education,4th grade,services,other,other,mother,<15 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,yes,excellent,high,high,moderate,very good,2,9,9,10,yes
GP,F,18,Rural,GT3,together,higher education,higher education,teacher,other,reputation,mother,15-30 min,2-5 hrs,0,no,no,yes,yes,yes,yes,yes,no,good,moderate,high,low,good,8,12,10,11,yes
GP,M,18,Urban,GT3,together,higher education,5th - 9th grade,health,other,reputation,father,<15 min,2-5 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,excellent,high,very high,very low,very good,10,10,9,10,yes
GP,F,18,Rural,GT3,together,5th - 9th grade,4th grade,other,other,reputation,mother,15-30 min,2-5 hrs,0,no,yes,no,no,yes,no,yes,yes,good,moderate,very high,very low,moderate,0,6,0,0,yes
GP,F,19,Urban,GT3,together,secondary education,secondary education,other,services,home,other,<15 min,2-5 hrs,2,no,yes,yes,yes,yes,yes,yes,no,good,moderate,very high,moderate,very good,15,9,9,9,yes
GP,F,18,Urban,GT3,together,5th - 9th grade,secondary education,other,services,reputation,father,<15 min,>10 hrs,0,no,yes,yes,yes,yes,yes,yes,yes,good,very high,very high,very low,bad,4,15,14,14,yes
GP,F,18,Urban,LE3,together,4th grade,4th grade,other,other,home,mother,15-30 min,2-5 hrs,0,no,yes,yes,no,no,yes,no,no,good,high,moderate,very low,moderate,2,11,11,11,no
GP,M,17,Rural,GT3,together,4th grade,5th - 9th grade,at_home,at_home,home,mother,<15 min,2-5 hrs,0,no,yes,yes,yes,no,yes,no,yes,moderate,very high,low,low,very bad,2,15,14,14,yes
GP,F,17,Urban,GT3,together,5th - 9th grade,higher education,at_home,health,reputation,mother,15-30 min,2-5 hrs,0,no,yes,yes,no,yes,yes,yes,yes,good,moderate,moderate,very low,very bad,2,10,10,10,no
